代號	名稱	標的代號	標的名稱	股數／單位數	投資比率(%)
98637537	PGIM保德信中國中小-新臺幣	CNE100003RN6	STARPOWER SEMICONDUCTOR LT-A		2.43
98637537	PGIM保德信中國中小-新臺幣	CNE100000MK9	ZHEJIANG WEIXING NEW BUILD-A		2.28
98637537	PGIM保德信中國中小-新臺幣	CNE000000XP6	ANHUI ZHONGDING SEALING PA-A		2.2
98637537	PGIM保德信中國中小-新臺幣	CNE100003LZ3	AMLOGIC SHANGHAI INC-A		2.18
98637537	PGIM保德信中國中小-新臺幣	CNE100003MS6	NINGBO RONBAY NEW ENERGY T-A		2.07
98637127	PGIM保德信中國品牌-新台幣	CNE000001B33	CHINA MERCHANTS BANK-A		5.95
98637127	PGIM保德信中國品牌-新台幣	CNE0000018R8	KWEICHOW MOUTAI CO LTD-A		4.64
98637127	PGIM保德信中國品牌-新台幣	CNE100003662	CONTEMPORARY AMPEREX TECHN-A		3.89
98637127	PGIM保德信中國品牌-新台幣	CNE100001QQ5	MIDEA GROUP CO LTD-A		3.15
98637127	PGIM保德信中國品牌-新台幣	CNE000001R84	PING AN INSURANCE GROUP CO-A		2.79
98637910	PGIM保德信中國好時平衡-新臺幣累積型	HK0000778206	ADBCH 3.05 11/02/26		6.16
98637910	PGIM保德信中國好時平衡-新臺幣累積型	HK0000545605	BEIJHK 3.4 11/26/22		6.11
98637910	PGIM保德信中國好時平衡-新臺幣累積型	XS2215886651	BMW 2.8 08/11/23		5.06
98637910	PGIM保德信中國好時平衡-新臺幣累積型	XS2292954034	QNBK 3.15 02/04/26		5.01
98637910	PGIM保德信中國好時平衡-新臺幣累積型	XS2270263598	VW 3.4 12/08/23		4.08
83866508	PGIM保德信中小型股	8046	南電	111000	5.2
83866508	PGIM保德信中小型股	6491	晶碩	97000	3.79
83866508	PGIM保德信中小型股	3665	貿聯-KY	140000	3.74
83866508	PGIM保德信中小型股	6271	同欣電	139000	3.58
83866508	PGIM保德信中小型股	1477	聚陽	171000	3.36
92029139	PGIM保德信亞太	2330	台積電	110400	9.05
92029139	PGIM保德信亞太	KR7005930003	SAMSUNG ELECTRONICS CO LTD		5.2
92029139	PGIM保德信亞太	KYG875721634	TENCENT HOLDINGS LTD		4.56
92029139	PGIM保德信亞太	KYG017191142	ALIBABA GROUP HOLDING LTD		3.46
92029139	PGIM保德信亞太	INE009A01021	INFOSYS LTD		2.01
98636611	PGIM保德信全球中小-新臺幣	TH0308010Y08	AP THAILAND PCL		1.21
98636611	PGIM保德信全球中小-新臺幣	IT0001233417	A2A SPA		1.16
98636611	PGIM保德信全球中小-新臺幣	US6951271005	PACIRA BIOSCIENCES INC		1.16
98636611	PGIM保德信全球中小-新臺幣	US1717793095	CIENA CORP		1.13
98636611	PGIM保德信全球中小-新臺幣	US47233W1099	JEFFERIES FINANCIAL GROUP IN		1.05
98636936	PGIM保德信全球基礎建設	US16411R2085	CHENIERE ENERGY INC		5.81
98636936	PGIM保德信全球基礎建設	US65339F1012	NEXTERA ENERGY INC		4.89
98636936	PGIM保德信全球基礎建設	US87612G1013	TARGA RESOURCES CORP		3.77
98636936	PGIM保德信全球基礎建設	US15189T1079	CENTERPOINT ENERGY INC		3.67
98636936	PGIM保德信全球基礎建設	FR0000130452	EIFFAGE		3.64
98636967	PGIM保德信全球消費商機	US02079K1079	ALPHABET INC-CL C		11.22
98636967	PGIM保德信全球消費商機	US0231351067	AMAZON.COM INC		8.75
98636967	PGIM保德信全球消費商機	US88160R1014	TESLA INC		5.9
98636967	PGIM保德信全球消費商機	US30303M1027	META PLATFORMS INC		4.74
98636967	PGIM保德信全球消費商機	US7427181091	PROCTER & GAMBLE CO/THE		3.83
98636904	PGIM保德信全球資源	US30231G1022	EXXON MOBIL CORP		9.7
98636904	PGIM保德信全球資源	US1667641005	CHEVRON CORP		9.14
98636904	PGIM保德信全球資源	GB00BP6MXD84	SHELL PLC		6.97
98636904	PGIM保德信全球資源	FR0000120271	TOTALENERGIES SE		4.36
98636904	PGIM保德信全球資源	US20825C1045	CONOCOPHILLIPS		4.01
14692638	PGIM保德信全球醫療生化-新臺幣	US91324P1021	UNITEDHEALTH GROUP INC		8.66
14692638	PGIM保德信全球醫療生化-新臺幣	US15135B1017	CENTENE CORP		4.43
14692638	PGIM保德信全球醫療生化-新臺幣	US1101221083	BRISTOL-MYERS SQUIBB CO		4.32
14692638	PGIM保德信全球醫療生化-新臺幣	US00287Y1091	ABBVIE INC		4.27
14692638	PGIM保德信全球醫療生化-新臺幣	US4448591028	HUMANA INC		4.16
98639035	PGIM保德信印度機會債券-新臺幣累積型	IN0020190396	IGB 6.18 11/04/24		15.69
98639035	PGIM保德信印度機會債券-新臺幣累積型	IN0020210012	IGB 5.63 04/12/26		15.17
98639035	PGIM保德信印度機會債券-新臺幣累積型	IN0020130012	IGB 7.16 05/20/23		12.63
98639035	PGIM保德信印度機會債券-新臺幣累積型	IN0020200112	IGB 5.22 06/15/25		12.14
98639035	PGIM保德信印度機會債券-新臺幣累積型	INE053F07BB3	INRCIN 8 1/4 02/28/24		9.73
98640749	PGIM保德信四到六年機動到期新興金融基礎建設債券-新臺幣累積型	US71654QCG55	PEMEX 6 1/2 03/13/27		5.13
98640749	PGIM保德信四到六年機動到期新興金融基礎建設債券-新臺幣累積型	USL67359AA48	NEXA 6 1/2 01/18/28		3.59
98640749	PGIM保德信四到六年機動到期新興金融基礎建設債券-新臺幣累積型	XS1551355149	GENTMK 4 1/4 01/24/27		3.44
98640749	PGIM保德信四到六年機動到期新興金融基礎建設債券-新臺幣累積型	USY00130VS35	ADSEZ 4.2 08/04/27		3.02
98640749	PGIM保德信四到六年機動到期新興金融基礎建設債券-新臺幣累積型	USP2400PAA77	KALLPA 4 1/8 08/16/27		2.99
98640111	PGIM保德信四年到期新興市場基礎建設債券-臺幣累積型	US71654QBH48	PEMEX 4 7/8 01/18/24		5.08
98640111	PGIM保德信四年到期新興市場基礎建設債券-臺幣累積型	US05401AAF84	AVOL 3.95 07/01/24		4.91
98640111	PGIM保德信四年到期新興市場基礎建設債券-臺幣累積型	US88167AAL52	TEVA 6 04/15/24		3.58
98640111	PGIM保德信四年到期新興市場基礎建設債券-臺幣累積型	US517834AG23	LVS 3.2 08/08/24		3.12
98640111	PGIM保德信四年到期新興市場基礎建設債券-臺幣累積型	US00774MAN56	AER 6 1/2 07/15/25		2.69
98638121	PGIM保德信多元收益組合-新台幣累積型	US4642882579	iShares MSCI ACWI ETF	10300	13.23
98638121	PGIM保德信多元收益組合-新台幣累積型	US4642872000	iShares安碩核心標普500 ETF	2087	11.96
98638121	PGIM保德信多元收益組合-新台幣累積型	LU0826331117	摩根投資基金 - 環球高收益債券基金 - JPM環球高收益債券(美元) - I股(每月派息)	7486.211	8.44
98638121	PGIM保德信多元收益組合-新台幣累積型	IE00B4PY7Y77	iShares美元高收益公司債UCITS	5580	7.22
98638121	PGIM保德信多元收益組合-新台幣累積型	IE0032314100	PIMCO新興市場債券基金-機構H級類別(累積股份)	10644.716	6.89
73998065	PGIM保德信大中華-新台幣	2330	台積電	350000	10.18
73998065	PGIM保德信大中華-新台幣	KYG875721634	TENCENT HOLDINGS LTD		4.25
73998065	PGIM保德信大中華-新台幣	CNE100003662	CONTEMPORARY AMPEREX TECHN-A		4.04
73998065	PGIM保德信大中華-新台幣	CNE0000018R8	KWEICHOW MOUTAI CO LTD-A		3.27
73998065	PGIM保德信大中華-新台幣	2881	富邦金	739778	2.68
98637243	PGIM保德信好時債組合-累積型	IE00B4PY7Y77	iShares美元高收益公司債UCITS	6000	15.88
98637243	PGIM保德信好時債組合-累積型	US4642862514	iShares安碩摩根大通新興市場	10670	13.72
98637243	PGIM保德信好時債組合-累積型	LU0826331117	摩根投資基金 - 環球高收益債券基金 - JPM環球高收益債券(美元) - I股(每月派息)	5539.196	12.76
98637243	PGIM保德信好時債組合-累積型	IE00B2NPKV68	iShares安碩摩根大通美元新興	2850	7.57
98637243	PGIM保德信好時債組合-累積型	LU0168057262	富達基金－美元高收益基金(A股-月配息)	21408.57	6.38
97988636	PGIM保德信店頭市場	6271	同欣電	200000	5.64
97988636	PGIM保德信店頭市場	3037	欣興	200000	4.97
97988636	PGIM保德信店頭市場	4966	譜瑞-KY	25000	4.66
97988636	PGIM保德信店頭市場	6679	鈺太	88000	4.2
97988636	PGIM保德信店頭市場	5274	信驊	15000	3.99
98637051	PGIM保德信拉丁美洲	BRVALEACNOR0	VALE SA		12.06
98637051	PGIM保德信拉丁美洲	BRPETRACNPR6	PETROBRAS - PETROLEO BRAS-PR		10.94
98637051	PGIM保德信拉丁美洲	MXP001691213	AMERICA MOVIL SAB DE C-SER L		4.9
98637051	PGIM保德信拉丁美洲	MXP370841019	GRUPO MEXICO SAB DE CV-SER B		3.27
98637051	PGIM保德信拉丁美洲	BRITUBACNPR1	ITAU UNIBANCO HOLDING S-PREF		3.05
17602625	PGIM保德信新世紀	2603	長榮	600000	8.43
17602625	PGIM保德信新世紀	2882	國泰金	1200878	7.33
17602625	PGIM保德信新世紀	2881	富邦金	949192	6.98
17602625	PGIM保德信新世紀	1301	台塑	596000	6.13
17602625	PGIM保德信新世紀	6505	台塑化	440000	4.21
