SITE,Mandate Size,AUM,YTD %,Since Inception %,Ranking,Target,Fund,Mandate Type,From,As of,Asset Manager
瑞萬通博,"134,445,625","124,967,218",-9.12,-8.13,－,5.02,LIF,96 年全球新興市場主動股票型 (續約),2017/10/2,2022/4/30,Vontobel
MFS,"1,696,084,601","1,488,975,666",-13.82,-12.21,－,-11.30,LIF,100 年全球主動股票型 ( 續約 ),2021/11/1,2022/4/30,MFS
富蘭克林坦伯頓,"300,039,317","292,276,089",-12.92,-2.59,－,-3.06,LIF,101 年全球新興市場主動債券型 ( 續約 ),2017/11/1,2022/4/30,Franklin
威靈頓,"358,235,765","321,438,665",-11.29,-10.27,2,-10.53,LIF,104 年全球主動債券型 ( 續約2 ),2020/2/3,2022/4/30,Wellington
PIMCO,"934,536,253","847,971,092",-11.40,-8.70,1,-10.53,LIF,104 年全球主動債券型 ( 續約2 ),2020/2/3,2022/4/30,PIMCO
北美信託,"423,550,185","493,155,971",-16.63,16.43,2,15.83,LIF,104-1 全球高品質被動股票型(續約),2020/8/11,2022/4/30,Northern Trust
LGIM,"423,212,022","492,337,009",-16.59,16.33,3,15.83,LIF,104-1 全球高品質被動股票型(續約),2020/8/11,2022/4/30,LGIM
Geode,"422,872,469","492,655,029",-16.69,16.50,1,15.83,LIF,104-1 全球高品質被動股票型(續約),2020/8/11,2022/4/30,Geode
麥格理,"203,110,456","248,834,998",4.28,36.05,1,31.24,LIF,104-2 全球基礎建設有價證券型(續約),2020/9/25,2022/4/30,Macquarie
Magellan,"334,158,139","404,203,387",-0.63,20.96,3,31.24,LIF,104-2 全球基礎建設有價證券型(續約),2020/9/25,2022/4/30,Magellan
RREEF,"265,570,288","350,180,634",0.28,31.86,2,31.24,LIF,104-2 全球基礎建設有價證券型(續約),2020/9/25,2022/4/30,RREEF
CBRE,"379,525,997","467,930,947",-9.72,40.34,1,33.18,LIF,104-2 全球不動產有價證券型(續約),2020/9/25,2022/4/30,CBRE
信安環球,"343,981,408","426,827,432",-9.98,27.76,2,33.18,LIF,104-2 全球不動產有價證券型(續約),2020/9/25,2022/4/30,PGI
盧米斯,"122,855,665","103,540,469",-11.61,-15.72,－,-18.27,LIF,104-1 全球主權信用增值債券型(續約),2020/11/13,2022/4/30,Loomis Sayles
Allianz,"194,927,948","191,448,018",-6.89,-1.79,1,0.14/4.04,LIF,105-1 全球多元資產型 ( 續約 ),2021/7/20,2022/4/30,Allianz
摩根,"426,766,888","396,630,696",-11.01,-7.06,3,0.14/4.04,LIF,105-1 全球多元資產型 ( 續約 ),2021/7/20,2022/4/30,J.P. Morgan
DWS,"326,338,852","308,525,830",-6.79,-5.46,2,0.14/4.04,LIF,105-1 全球多元資產型 ( 續約 ),2021/7/20,2022/4/30,DWS
柏瑞,"317,911,365","287,860,428",-11.17,-9.45,4,0.14/4.04,LIF,105-1 全球多元資產型 ( 續約 ),2021/7/20,2022/4/30,PineBridge
貝萊德,"151,969,815","137,468,477",-10.45,-9.54,－,-9.39,LIF,105-1 亞太混合指數增值股票型(續約),2021/8/24,2022/4/30,BlackRock
貝萊德,"125,000,000","167,755,729",-10.46,49.85,4,49.35,LIF,106-1 全球ESG混合指數被動股票型,2017/6/22,2022/4/30,BlackRock
DWS,"125,000,000","168,099,540",-10.67,50.48,3,49.35,LIF,106-1 全球ESG混合指數被動股票型,2017/6/22,2022/4/30,DWS
道富,"125,000,000","168,172,944",-10.51,50.70,1,49.35,LIF,106-1 全球ESG混合指數被動股票型,2017/6/22,2022/4/30,State Street
北美信託,"125,000,000","168,394,864",-10.58,50.65,2,49.35,LIF,106-1 全球ESG混合指數被動股票型,2017/6/22,2022/4/30,Northern Trust
American Century,"100,000,000","107,242,309",-4.05,8.14,3,5.02/16.94,LIF,106-1 絕對報酬債券型,2017/7/25,2022/4/30,American Century
富達,"300,000,000","295,303,299",-6.58,8.93,2,5.02/16.94,LIF,106-1 絕對報酬債券型,2017/7/25,2022/4/30,Fidelity
富蘭克林坦伯頓,"100,000,000","103,758,873",-2.00,5.61,4,5.02/16.94,LIF,106-1 絕對報酬債券型,2017/7/25,2022/4/30,Franklin
TCW,"300,000,000","302,088,354",-4.21,12.73,1,5.02/16.94,LIF,106-1 絕對報酬債券型,2017/7/25,2022/4/30,TCW
