SITE,Mandate Size,AUM,YTD %,Since Inception %,Ranking,Fund,Mandate Type,Target,From,As of,Asset Manager
富達國際,"363,076,477.07","454,629,585.93",-9.91,34.12,-,PSPF,第 5 次續約 - 亞太股票型,33.04,2014/4/28,2022/4/30,Fidelity
安聯環球投資,"204,341,586.67","454,355,184.05",-10.40,69.76,-,PSPF,第 5 次續約 - 國際股票型,79.30,2014/6/4,2022/4/30,Allianz
施羅德投資管理,"300,000,000","687,119,211.64",-14.44,192.18,2,PSPF,第 6 次 - 國際股票型,161.38,2011/8/16,2022/4/30,Schroders
安聯環球投資,"250,000,000","692,198,022.06",-12.16,196.50,1,PSPF,第 6 次 - 國際股票型,161.38,2011/8/16,2022/4/30,Allianz
東方匯理資產管理,"320,000,000","354,285,464.80",-12.53,29.70,-,PSPF,第 7 次 - 公司債券型,23.25,2012/6/7,2022/4/30,Amundi
安聯環球投資,"400,000,000","567,414,446.60",-4.60,68.12,1,PSPF,第 9 次 - 高股利股票型,49.82,2014/10/1,2022/4/30,Allianz
貝萊德法人信託,"300,000,000","468,428,073.49",-5.21,60.06,2,PSPF,第 9 次 - 高股利股票型,49.82,2014/10/1,2022/4/30,BlackRock
貝萊德法人信託,"250,000,000","346,861,110.36",-7.20,62.60,2,PSPF,第 9 次 - 低波動股票型,59.03,2015/6/1,2022/4/30,BlackRock
瑞銀資產管理,"250,000,000","348,881,903.29",-7.04,63.49,1,PSPF,第 9 次 - 低波動股票型,59.03,2015/6/1,2022/4/30,UBS
德意志資產管理,"150,000,000","239,656,643.73",0.37,66.10,-,PSPF,第 10 次 - 基礎建設股票型,52.58,2015/3/18,2022/4/30,DWS
Cohen & Steers,"300,000,000","399,119,756.27",-7.60,57.22,-,PSPF,第 10 次 - 不動產股票型,32.14,2015/6/1,2022/4/30,Cohen & Steers
施羅德投資管理,"200,000,000","241,309,149.25",-8.48,23.42,2,PSPF,第 11 次 - 多元資產型,6.36,2017/6/5,2022/4/30,Schroders
摩根資產管理,"300,000,000","332,777,850.73",-10.69,24.08,1,PSPF,第 11 次 - 多元資產型,6.36,2017/6/5,2022/4/30,J.P. Morgan
聯博,"300,000,000","327,663,111.02",-12.19,21.74,3,PSPF,第 11 次 - 多元資產型,6.36,2017/6/5,2022/4/30,Alliance Bernstein
東方匯理資產管理,"350,000,000","367,177,374.98",-4.54,10.26,1,PSPF,第12次-總報酬固定收益型,3.77,2018/6/5,2022/4/30,Amundi
德意志資產管理,"350,000,000","357,048,104.31",-7.72,6.77,3,PSPF,第12次-總報酬固定收益型,3.77,2018/6/5,2022/4/30,DWS
TCW,"350,000,000","367,912,712.13",-4.54,10.08,2,PSPF,第12次-總報酬固定收益型,3.77,2018/6/5,2022/4/30,TCW
American Century,"250,000,000","259,412,397.71",-4.11,6.49,4,PSPF,第12次-總報酬固定收益型,3.77,2018/6/5,2022/4/30,American Century
貝萊德財務管理,"200,000,000","175,630,169.67",-14.17,-10.65,2,PSPF,第13次-高品質ESG 股票型,-10.95,2021/9/27,2022/4/30,BlackRock
瑞銀資產管理,"200,000,000","176,143,118.38",-13.77,-10.41,1,PSPF,第13次-高品質ESG 股票型,-10.95,2021/9/27,2022/4/30,UBS
