SITE,Mandate Size,AUM,YTD %,Since Inception %,Ranking,Target,Fund,Mandate Type,From,As of,Asset Manager
富達,"786,579,222","926,549,235",-8.48,15.21,－,17.78,LRF,96 年續約3 國外委託經營 ( 平衡型  ),2019/6/24,2022/4/30,Fidelity
PIMCO,"1,003,724,736","894,463,745",-10.89,-10.89,1,-11.25,LRF,97年續約3國外委託經營( 全球增值債券型 ),2022/1/6,2022/4/30,PIMCO
盧米斯,"948,693,762","844,702,414",-10.96,-10.96,2,-11.25,LRF,97年續約3國外委託經營( 全球增值債券型 ),2022/1/6,2022/4/30,Loomis Sayles
貝萊德,"1,156,987,544","1,059,754,408",-8.40,-8.40,－,-8.63,LRF,97年續約3 國外委託經營 ( 全球增值股票型 ),2022/2/6,2022/4/30,BlackRock
景順,"307,323,526","360,272,255",-2.34,21.97,－,11.76,LRF,98-1 亞太（ 日本除外）股票型（ 續約2）,2017/11/17,2022/4/30,Invesco
貝萊德,"304,997,166","301,353,972",-1.19,-1.19,2,-1.57,LRF,100-1 全球基本面指數被動股票型(續約 2) ,2022/3/6,2022/4/30,BlackRock
道富,"360,436,214","355,564,428",-1.35,-1.35,3,-1.57,LRF,100-1 全球基本面指數被動股票型(續約 2) ,2022/3/6,2022/4/30,State Street
瑞銀,"308,879,836","305,714,958",-1.02,-1.02,1,-1.57,LRF,100-1 全球基本面指數被動股票型(續約 2) ,2022/3/6,2022/4/30,UBS
Nomura,"360,147,608","354,968,110",-1.44,-1.44,4,-1.57,LRF,100-1 全球基本面指數被動股票型(續約 2) ,2022/3/6,2022/4/30,Nomura
貝萊德,"671,455,711","797,971,173",-5.96,18.84,－,18.12,LRF,101 年續約國外委託經營 (全球低波動指數股票型 ),2018/6/13,2022/4/30,BlackRock
瑞萬通博,"287,169,673","414,924,350",-14.12,44.49,1,31.17,LRF,102 年續約國外委託經營 ( 全球高股利增值股票型 ),2019/1/22,2022/4/30,Vontobel
MFS,"246,618,331","335,694,100",-1.74,36.12,3,31.17,LRF,102 年續約國外委託經營 ( 全球高股利增值股票型 ),2019/1/22,2022/4/30,MFS
威靈頓,"503,548,464","718,392,528",-6.00,42.67,2,31.17,LRF,102 年續約國外委託經營 ( 全球高股利增值股票型 ),2019/1/22,2022/4/30,Wellington
Lazard,"713,987,040","886,085,139",-1.13,25.05,－,23.62,LRF,102 年續約國外委託經營 ( 全球基礎建設有價證券型 ) ,2019/5/29,2022/4/30,Lazard
