SITE,Mandate Size,AUM,YTD %,Since Inception %,Ranking,Target,Fund,Mandate Type,From,As of,Asset Manager
北美信託,"279,504,715","325,403,514",-16.63,16.42,2,15.83,NPIF,104-1 全球高品質被動股票型(續約),2020/08/11,2022/04/30,Northern Trust
LGIM,"279,205,663","324,659,771",-16.57,16.28,3,15.83,NPIF,104-1 全球高品質被動股票型(續約),2020/08/11,2022/04/30,LGIM
Geode,"278,841,018","324,946,728",-16.69,16.53,1,15.83,NPIF,104-1 全球高品質被動股票型(續約),2020/08/11,2022/04/30,Geode
CBRE,"115,859,702","162,607,524",-9.69,40.35,1,33.18,NPIF,104-2 全球不動產有價證券型(續約),2020/09/25,2022/04/30,CBRE
信安環球,"170,968,577","218,392,848",-10.00,27.74,2,33.18,NPIF,104-2 全球不動產有價證券型(續約),2020/09/25,2022/04/30,PGI
盧米斯,"294,532,220","247,673,703",-11.83,-15.91,－,-18.27,NPIF,104-1 全球主權信用增值債券型 (續約),2020/11/13,2022/04/30,Loomis Sayles
貝萊德,"151,227,051","136,741,706",-10.49,-9.58,－,-9.39,NPIF,105-1 亞太混合指數增值股票型(續約),2021/08/24,2022/04/30,BlackRock
貝萊德,"125,000,000","171,046,868",-10.46,50.03,4,49.35,NPIF,106-1 全球ESG混合指數被動股票型,2017/06/22,2022/04/30,BlackRock
DWS,"125,000,000","171,276,913",-10.68,50.41,3,49.35,NPIF,106-1 全球ESG混合指數被動股票型,2017/06/22,2022/04/30,DWS
道富,"125,000,000","171,573,609",-10.62,51.06,1,49.35,NPIF,106-1 全球ESG混合指數被動股票型,2017/06/22,2022/04/30,State Street
北美信託,"125,000,000","171,624,419",-10.57,50.65,2,49.35,NPIF,106-1 全球ESG混合指數被動股票型,2017/06/22,2022/04/30,Northern Trust
American Century,"100,000,000","108,089,096",-3.98,8.18,2,5.02/16.94,NPIF,106-1 絕對報酬債券型,2017/07/25,2022/04/30,American Century
富達,"150,000,000","155,940,516",-7.63,8.05,3,5.02/16.94,NPIF,106-1 絕對報酬債券型,2017/07/25,2022/04/30,Fidelity
富蘭克林坦伯頓,"100,000,000","104,454,585",-1.96,5.78,4,5.02/16.94,NPIF,106-1 絕對報酬債券型,2017/07/25,2022/04/30,Franklin
TCW,"150,000,000","158,507,631",-4.58,12.17,1,5.02/16.94,NPIF,106-1 絕對報酬債券型,2017/07/25,2022/04/30,TCW
Nomura,"40,000,000","36,257,976",-1.52,4.39,5,3.12/19.47,NPIF,107-1絕對報酬股票型,2019/01/23,2022/04/30,Nomura
景順,"80,000,000","105,806,461",-7.20,36.49,1,3.12/19.47,NPIF,107-1絕對報酬股票型,2019/01/23,2022/04/30,Invesco
威靈頓,"120,000,000","144,698,346",-7.00,25.98,3,3.12/19.47,NPIF,107-1絕對報酬股票型,2019/01/23,2022/04/30,Wellington
CPR,"80,000,000","103,605,525",-9.21,32.52,2,3.12/19.47,NPIF,107-1絕對報酬股票型,2019/01/23,2022/04/30,CPR
道富,"120,000,000","142,009,494",-5.79,21.61,4,3.12/19.47,NPIF,107-1絕對報酬股票型,2019/01/23,2022/04/30,State Street
DWS,"60,000,000","53,701,432",-11.88,-12.09,2,-11.68,NPIF,109-1全球美元公司增值債券型,2021/01/13,2022/04/30,DWS
INSIGHT,"60,000,000","53,718,293",-11.90,-11.92,1,-11.68,NPIF,109-1全球美元公司增值債券型,2021/01/13,2022/04/30,Insight
JP Morgan,"60,000,000","53,654,265",-12.01,-12.23,3,-11.68,NPIF,109-1全球美元公司增值債券型,2021/01/13,2022/04/30,J.P. Morgan
PIMCO,"60,000,000","53,411,860",-12.35,-12.56,4,-11.68,NPIF,109-1全球美元公司增值債券型,2021/01/13,2022/04/30,PIMCO
WESTERN,"60,000,000","53,248,685",-12.55,-12.64,5,-11.68,NPIF,109-1全球美元公司增值債券型,2021/01/13,2022/04/30,Western
富達,"60,000,000","54,619,650",-10.33,-8.97,3,0.13/2.84,NPIF,110-1全球多元資產型,2021/10/15,2022/04/30,Fidelity
摩根,"60,000,000","54,475,439",-10.78,-9.21,4,0.13/2.84,NPIF,110-1全球多元資產型,2021/10/15,2022/04/30,J.P. Morgan
Ninety One,"60,000,000","57,888,397",-3.09,-3.52,1,0.13/2.84,NPIF,110-1全球多元資產型,2021/10/15,2022/04/30,Ninety one
Schroders,"60,000,000","55,278,778",-8.96,-7.87,2,0.13/2.84,NPIF,110-1全球多元資產型,2021/10/15,2022/04/30,Schroders
T. Rowe Price,"60,000,000","53,925,548",-10.12,-10.12,5,0.13/2.84,NPIF,110-1全球多元資產型,2021/10/15,2022/04/30,T. Rowe Price
