Fund,Mandate Type,SITE,Mandate Size,AUM,YTD %,Since Inception %,Ranking,Target,From,As of,Asset Class,benchmark,新舊
LPF,96年第一次委託經營（續約4）,野村,"23,580,874,211","32,235,976,725",-14.66,42.07,－,15.63,2019/9/27,2022/4/30,,,
LPF,97年第一次委託經營（續約4）,野村,"9,193,179,186","11,885,257,401",-14.52,29.28,－,13.62,2020/1/20,2022/4/30,,,
LPF,98 年第一次委託經營（續約4）,野村,"19,093,323,980","18,271,737,023",-14.76,-4.30,1,4.56,2021/7/16,2022/4/30,,,
LPF,98 年第一次委託經營（續約4）,保德信,"6,277,574,114","5,738,093,129",-8.47,-8.59,2,4.56,2021/7/16,2022/4/30,,,
LPF,99 年第二次委託經營（續約2）,國泰,"7,441,043,825","10,142,401,766",1.76,38.53,－,20.84,2018/12/3,2022/4/30,,,
LPF,100 年第一次委託經營(續約 2)(相對報酬),復華,"11,295,508,988","25,196,585,328",-7.19,72.87,－,75.42,2019/7/15,2022/4/30,,,
LPF,101 年第一次委託經營( 續約 2),國泰,"8,014,871,501","13,414,529,005",-10.42,67.37,1,66.53,2020/4/20,2022/4/30,,,
LPF,101 年第一次委託經營( 續約 2),匯豐中華,"10,927,481,593","17,875,250,514",-8.45,63.58,2,66.53,2020/4/20,2022/4/30,,,
LPF,101 年第二次委託經營( 續約 2),野村,"9,057,257,704","11,278,181,517",-14.48,24.52,2,10.53,2020/7/20,2022/4/30,,,
LPF,101 年第二次委託經營( 續約 2),統一,"12,294,643,442","15,389,734,582",-10.01,25.17,1,10.53,2020/7/20,2022/4/30,,,
LPF,102 年第二次委託經營 ( 續約 ),統一,"14,437,134,744","13,530,457,056",-6.28,-6.28,1,-7.06,2022/1/24,2022/4/30,,,
LPF,102 年第二次委託經營 ( 續約 ),復華,"19,009,802,076","17,393,151,098",-8.50,-8.50,2,-7.06,2022/1/24,2022/4/30,,,
LPF,103 年第一次委託經營第二期(續約),台新,"12,934,673,726","17,706,278,419",-9.24,54.21,－,21.78,2018/10/8,2022/4/30,,,
LPF,103 年第二次委託經營,國泰,"14,836,482,661","15,018,107,390",-2.42,2.42,3,3.50,2021/12/1,2022/4/30,,,
LPF,103 年第二次委託經營,統一,"11,353,734,691","11,600,077,774",-2.51,2.17,4,3.50,2021/12/1,2022/4/30,,,
