Fund,Mandate Type,Asset Manager,Mandate Size,AUM,YTD %,Since Inception %,Ranking,From,As of,Category,Investment Type,Asset Class,新舊
LPF,97-1 全球債券型（ 續約3）,Alliance Bernstein,"907,613,021","851,467,685",-3.65,-6.19,1,2021/6/7,2022/2/28,,,,
LPF,97-1 全球債券型（ 續約3）,Franklin,"851,737,838","786,884,534",-3.21,-7.61,2,2021/6/7,2022/2/28,,,,
LPF,97-2 全球增值債券型（續約 3）,PIMCO,"1,708,967,886","1,660,161,812",-2.86,-2.86,－,2022/1/6,2022/2/28,,,,
LPF,97-2 全球增值股票型（續約 3）,BlackRock,"1,734,805,538","1,676,519,248",-3.36,-3.36,2,2022/2/6,2022/2/28,,,,
LPF,97-2 全球增值股票型（續約 3）,J.P. Morgan,"1,485,120,883","1,440,366,191",-3.01,-3.01,1,2022/2/6,2022/2/28,,,,
LPF,98-1 亞太（ 日本除外）股票型（ 續約2）,Invesco,"602,621,073","733,433,317",0.94,26.02,－,2017/11/17,2022/2/28,,,,
LPF,98-1 全球被動股票型（ 續約2）,BlackRock,"735,489,288","1,015,944,660",-7.36,50.95,2,2017/12/4,2022/2/28,,,,
LPF,98-1 全球被動股票型（ 續約2）,State Street,"928,826,441","1,309,331,135",-7.38,51.18,1,2017/12/4,2022/2/28,,,,
LPF,99-1 全球新興市場股票型（續約2）,Vontobel,"657,229,489","752,830,041",-5.09,11.69,－,2018/8/27,2022/2/28,,,,
LPF,100-1 全球基本面指數被動股票型（續約2）,State Street,"934,565,605","950,252,350",-2.62,1.68,2,2021/7/1,2022/2/28,,,,
LPF,100-1 全球基本面指數被動股票型（續約2）,BlackRock,"939,726,931","956,340,855",-2.36,1.77,1,2021/7/1,2022/2/28,,,,
LPF,100-1 全球不動產有價證券型（續約）,Cohen & Steers,"1,601,936,411","2,188,926,251",-6.80,49.36,1,2017/3/6,2022/2/28,,,,
LPF,100-1 全球不動產有價證券型（續約）,Invesco,"1,164,104,927","1,484,451,360",-7.96,29.72,2,2017/3/6,2022/2/28,,,,
LPF,101-1 全球新興市場主動債券型（續約）,Ashmore,"354,453,121","371,830,911",-6.65,2.30,2,2017/7/31,2022/2/28,,,,
LPF,101-1 全球新興市場主動債券型（續約）,Pictet,"534,291,634","569,823,800",-5.61,9.43,1,2017/7/31,2022/2/28,,,,
LPF,101-1 全球低波動指數被動股票型（續約）,State Street,"798,231,848","960,288,406",-4.77,20.47,2,2018/4/18,2022/2/28,,,,
LPF,101-1 全球低波動指數被動股票型（續約）,BlackRock,"794,293,722","958,141,907",-4.68,20.78,1,2018/4/18,2022/2/28,,,,
